id,coord,name,admin_region_id,admin_region_name,admin_region_zip_code,admin_region_insee
stop_area:SNCF:87611384,"{'lat': '43.348993', 'lon': '1.468831'}",Auterive,admin:fr:31033,Auterive,31190,31033
stop_area:SNCF:87117457,"{'lat': '48.484054', 'lon': '5.849088'}",Autreville Centre,admin:fr:88020,Autreville,88300,88020
stop_area:SNCF:87694570,"{'lat': '46.954943', 'lon': '4.293095'}",Autun,admin:fr:71014,Autun,71400,71014
stop_area:SNCF:87605162,"{'lat': '46.95492', 'lon': '4.319054'}",Autun Base Du Vallon,admin:fr:71014,Autun,71400,71014
stop_area:SNCF:87605147,"{'lat': '46.949966', 'lon': '4.298921'}",Autun Champ de Mars,admin:fr:71014,Autun,71400,71014
stop_area:SNCF:87605972,"{'lat': '46.950693', 'lon': '4.303406'}",Autun Lycée Militaire,admin:fr:71014,Autun,71400,71014
stop_area:SNCF:87605154,"{'lat': '46.95607', 'lon': '4.314569'}",Autun Pont L'Evêque,admin:fr:71014,Autun,71400,71014
stop_area:SNCF:87276543,"{'lat': '49.070629', 'lon': '2.175285'}",Auvers-sur-Oise,admin:fr:95039,Auvers-sur-Oise,95430,95039
stop_area:SNCF:87683573,"{'lat': '47.797645', 'lon': '3.58514'}",Auxerre Saint-Gervais,admin:fr:89024,Auxerre,89000,89024
stop_area:SNCF:87117119,"{'lat': '48.103362', 'lon': '3.918858'}",Auxon Église,admin:fr:10018,Auxon,10130,10018
stop_area:SNCF:87429761,"{'lat': '48.109185', 'lon': '3.915583'}",Auxon Route Nationale,admin:fr:10018,Auxon,10130,10018
stop_area:SNCF:87713347,"{'lat': '47.192668', 'lon': '5.377356'}",Auxonne,admin:fr:21639,Tillenay,21130,21639
stop_area:SNCF:87543207,"{'lat': '48.852985', 'lon': '2.280314'}",Av du Pdt Kennedy Radio France,admin:fr:75056,Paris,75000;75116,75056
stop_area:SNCF:87304691,"{'lat': '46.96407', 'lon': '2.058472'}",Avail,admin:fr:36088,Issoudun,36100,36088
stop_area:SNCF:87689422,"{'lat': '46.968184', 'lon': '2.045302'}",Avail Halte,admin:fr:36195,Saint-Georges-sur-Arnon,36100,36195
stop_area:SNCF:87683789,"{'lat': '47.495755', 'lon': '3.912446'}",Avallon,admin:fr:89025,Avallon,89200,89025
stop_area:SNCF:87171579,"{'lat': '49.064783', 'lon': '4.043689'}",Avenay,admin:fr:51028,Avenay-Val-d'Or,51160,51028
stop_area:SNCF:87381038,"{'lat': '48.870971', 'lon': '2.275617'}",Avenue Foch,admin:fr:75056,Paris,75000;75116,75056
stop_area:SNCF:87381046,"{'lat': '48.864408', 'lon': '2.272238'}",Avenue Henri Martin,admin:fr:75056,Paris,75000;75116,75056
stop_area:SNCF:87984963,"{'lat': '48.826749', 'lon': '2.54967'}",Avenue-de-Gaumont,admin:fr:94079,Villiers-sur-Marne,94350,94079
stop_area:SNCF:87295725,"{'lat': '50.118583', 'lon': '3.948544'}",Avesnelles,admin:fr:59035,Avesnelles,59440,59035
stop_area:SNCF:87295733,"{'lat': '50.126722', 'lon': '3.932942'}",Avesnes,admin:fr:59036,Avesnes-sur-Helpe,59440,59036
stop_area:SNCF:87765008,"{'lat': '43.941923', 'lon': '4.805269'}",Avignon Centre,admin:fr:84007,Avignon,84000,84007
stop_area:SNCF:87318964,"{'lat': '43.92194', 'lon': '4.786136'}",Avignon TGV,admin:fr:84007,Avignon,84000,84007
stop_area:SNCF:87616011,"{'lat': '43.363877', 'lon': '1.787269'}",Avignonet,admin:fr:31037,Avignonet-Lauragais,31290,31037
stop_area:SNCF:87342584,"{'lat': '50.40721', 'lon': '2.833676'}",Avion,admin:fr:62065,Avion,62210,62065
stop_area:SNCF:87576439,"{'lat': '47.034874', 'lon': '2.652335'}",Avord,admin:fr:18018,Avord,18520,18018
stop_area:SNCF:87718551,"{'lat': '47.129852', 'lon': '6.43481'}",Avoudrey,admin:fr:25039,Avoudrey,25690,25039
stop_area:SNCF:87448514,"{'lat': '48.690041', 'lon': '-1.369612'}",Avranches,admin:fr:50025,Avranches,,50025
stop_area:SNCF:87313296,"{'lat': '49.444583', 'lon': '2.41792'}",Avrechy,admin:fr:60034,Avrechy,60130,60034
stop_area:SNCF:87691725,"{'lat': '46.82338', 'lon': '3.880148'}",Avrée,admin:fr:58019,Avrée,58170,58019
stop_area:SNCF:87215111,"{'lat': '48.651707', 'lon': '6.821681'}",Avricourt Nouvel Avricourt,admin:fr:57042,Avricourt,57810,57042
stop_area:SNCF:87407056,"{'lat': '48.650089', 'lon': '6.812851'}",Avricourt Rue de Lorraine,admin:fr:57042,Avricourt,57810,57042
stop_area:SNCF:87407049,"{'lat': '48.650559', 'lon': '6.806194'}",Avricourt Rue Des Halles,admin:fr:57042,Avricourt,57810,57042
stop_area:SNCF:87611533,"{'lat': '42.724841', 'lon': '1.833295'}",Ax-les-Thermes,admin:fr:9032,Ax-les-Thermes,09110,9032
stop_area:SNCF:87171561,"{'lat': '49.048797', 'lon': '4.00169'}",Ay,admin:fr:51030,Aÿ-Champagne,,51030
stop_area:SNCF:87437806,"{'lat': '46.12761', 'lon': '-1.128293'}",Aytré Plage,admin:fr:17028,Aytré,17440,17028
stop_area:SNCF:87571638,"{'lat': '47.266154', 'lon': '0.4476'}",Azay-le-Rideau,admin:fr:37014,Azay-le-Rideau,37190,37014
